"ability_spore","ability_spore_prob","oxygen_growth","oxygen_growth_prob","oxygen_obligate","oxygen_obligate_prob","oxygen_microaerophile","oxygen_microaerophile_prob","oxygen_facultative","oxygen_facultative_prob","gram","gram_prob","is_motile","is_motile_prob","biosafety","biosafety_prob","file"
FALSE,0.961749943965782,"anaerobe",0.500019251243982,"obligate.aerobe",0.824557363986969,TRUE,0.520358383050343,"facultative.anaerobe",0.905885811510719,"positive",0.566818322252838,FALSE,0.809573970206107,2,0.0627439398514599,"1000570.3.fasta"
FALSE,0.893433997425506,"anaerobe",0.669291019792943,"obligate.aerobe",0.891992330551147,TRUE,0.729397377816421,"facultative.anaerobe",0.953722525961288,"positive",0.834920020167586,FALSE,0.797723036143065,2,0.28144003215589,"1000570.31.fasta"
FALSE,0.827453601324727,"anaerobe",0.821442730849906,"obligate.aerobe",0.857226252555847,TRUE,0.794368322499538,"facultative.anaerobe",0.952745794648938,"positive",0.615995689928868,FALSE,0.836749224204398,2,0.889011132089715,"1000570.8.fasta"
TRUE,0.802334919493235,"anaerobe",0.509936649838305,"obligate.aerobe",0.533848464488983,FALSE,0.930449848672544,"facultative.anaerobe",0.924024694098196,"positive",0.461057554508363,TRUE,0.798196262870187,2,0.849477567170796,"1000570.9.fasta"
FALSE,0.932914437236005,"aerobe",0.641715987956633,"obligate.aerobe",0.936586499214172,TRUE,0.527350834923103,"facultative.anaerobe",0.909252271937566,"positive",0.43042374798319,FALSE,0.755462689162692,2,0.669020301417301,"1000589.3.fasta"
FALSE,0.904718401871954,"aerobe",0.927726566186766,"obligate.aerobe",0.947997748851776,FALSE,0.921415092340915,"facultative.aerobe",0.107604346800968,"negative",0.45232512149441,TRUE,0.536413447357098,2,0.908638669733415,"1001714.3.fasta"
FALSE,0.967891226744747,"aerobe",0.902071895617486,"obligate.aerobe",0.945987326758248,FALSE,0.866183103550765,"facultative.aerobe",0.150918364839345,"positive",0.58619602913807,TRUE,0.411584772438444,2,0.932966088890133,"1001714.4.fasta"
FALSE,0.881718152311795,"aerobe",0.884250051578037,"obligate.aerobe",0.892366511481149,FALSE,0.902862544533745,"facultative.aerobe",0.120621675534235,"positive",0.467712304509198,TRUE,0.480255030736837,2,0.969539929153328,"1001714.6.fasta"
FALSE,0.907917324939847,"aerobe",0.648132073622102,"obligate.aerobe",0.706931680440903,TRUE,0.54498141003802,"facultative.aerobe",0.140802496806548,"positive",0.527069457324653,FALSE,0.780535961295244,2,0.485948713202226,"1002366.3.fasta"
FALSE,0.992519817600369,"aerobe",0.912091200256341,"obligate.aerobe",0.859402507543564,FALSE,0.970938503926201,"facultative.aerobe",0.131225748357734,"negative",0.969073326451402,TRUE,0.663980189132725,3,0.880598962708632,"1002368.3.fasta"
FALSE,0.885224423133678,"aerobe",0.944269965443149,"obligate.aerobe",0.990323084592819,FALSE,0.952834113531887,"facultative.aerobe",0.136350575714928,"negative",0.867631948161426,FALSE,0.807735423151223,1,0.992835659543426,"1002689.3.fasta"
FALSE,0.998024776194284,"aerobe",0.963617727194595,"obligate.aerobe",0.987922579050064,FALSE,0.986001546356987,"facultative.anaerobe",0.9222694929814,"negative",0.993072963450987,FALSE,0.850230807963432,1,0.999917090750608,"1003.8.fasta"
TRUE,0.940850450052384,"aerobe",0.949412556518674,"obligate.aerobe",0.983418088692885,FALSE,0.903679321100941,"facultative.anaerobe",0.974494591469182,"positive",0.996098889002823,FALSE,0.95819173073972,1,0.976429727646734,"1003195.11.fasta"
TRUE,0.945310166227719,"aerobe",0.961320157925475,"obligate.aerobe",0.988116401892442,FALSE,0.939173291500494,"facultative.anaerobe",0.975576045991852,"positive",0.996367886973714,FALSE,0.959704118331098,1,0.997339119854365,"1003195.29.fasta"
